,RA,ML,ACC,TL,STE07,STE09,STE08,STE13
min,0.8245471849126654,0.23962264150943396,0.6851145038167938,0.6829395885392291,-1.8000000000001275,-1.3345805610302353,0.5791764495204753,-0.8370061657912679
Q1,0.851318323497921,0.26402657854528655,0.7063041521628333,0.716524972568771,-0.7213326158756331,-1.0166309012875199,0.8793558379947243,1.0136095986033924
Q2,0.8598152697649732,0.2700937387543192,0.7123809523809523,0.7298807032669252,-0.6510899424889814,-0.9028023226457736,0.9842133418317849,1.4257489778928405
Q3,0.8679006982019124,0.2799056252506158,0.7165048543689321,0.7445943737169651,-0.5272632714281478,-0.8019665753571253,1.084546411868566,1.786855431158334
Q4,0.8921549936849128,0.3076923076923077,0.7418738049713193,0.7939772035547168,0.39920315711169574,-0.44712103407755144,1.3832785210588798,2.4435126639260263
max,0.8921549936849128,0.3076923076923077,0.7418738049713193,0.7939772035547168,0.39920315711169574,-0.44712103407755144,1.3832785210588798,2.4435126639260263
IQR,0.016582374703991376,0.015879046705329247,0.01020070220609881,0.028069401148194117,0.19406934444748536,0.21466432593039453,0.20519057387384165,0.7732458325549416
range,0.06760780877224737,0.06806966618287374,0.05675930115452543,0.1110376150154877,2.1992031571118233,0.8874595269526838,0.8041020715384045,3.2805188297172942
