,RA,ML,ACC,TL,STE07,STE09,STE08,STE13
min,0.8613081498579546,0.1082474226804123,0.729381443298969,0.4787401205737589,-0.952958144549176,-1.7876650842303088,-0.8341257428839317,2.718998899177479
Q1,0.8885095791667895,0.12064307624155123,0.7474226804123711,0.5694985235219321,-0.2548453354983523,-1.7111090261221449,-0.4058517215141689,3.02935151897099
Q2,0.893180098766667,0.12612633503829535,0.7558748338275898,0.5854161877845073,-0.174995457023439,-1.575739391341609,-0.2568436417583059,3.0960970656429625
Q3,0.8975041824807999,0.1296177915348899,0.7603092783505154,0.6083825654832771,-0.096673505275497,27.02625754525922,-0.13915617874174782,3.182106531119964
Q4,0.9054937750553524,0.1447028423772609,0.7780748663101604,0.6475712946173663,0.3538885422522599,313.8842975178928,0.0941692934827449,3.430260552168992
max,0.9054937750553524,0.1447028423772609,0.7780748663101604,0.6475712946173663,0.3538885422522599,313.8842975178928,0.0941692934827449,3.430260552168992
IQR,0.008994603314010363,0.008974715293338667,0.012886597938144284,0.038884041961344984,0.1581718302228553,28.737366571381365,0.266695542772421,0.15275501214897425
range,0.04418562519739788,0.03645541969684858,0.048693423011191395,0.16883117404360737,1.306846686801436,315.6719626021231,0.9282950363666767,0.7112616529915128
