state,frequency
Alberta,30
Kansas,2
Montana,13
New York,22
Maine,8
Kentucky,2
Maryland,3
Minnesota,30
Wyoming,3
Wisconsin,3
Massachusetts,20
South Dakota,4
Iowa,11
Pennsylvania,20
Colorado,60
New Mexico,10
Ohio,22
New Hampshire,55
Nebraska,11
California,11
New Jersey,2
Manitoba,8
Saskatchewan,20
Illinois,12
Ontario,49
Quebec,17
Michigan,15
Rhode Island,2
Connecticut,4
British Columbia,12
Indiana,1
Arizona,3
Vermont,40
North Dakota,2
Texas,1
Utah,1
North Carolina,2
Washington,6
Virginia,6
Missouri,2
Nevada,2
South Carolina,1
