state,frequency
Idaho,20
Utah,22
Wyoming,33
Washington,13
Montana,57
Colorado,120
Nebraska,1
Oregon,7
California,18
Nevada,13
Michigan,6
Minnesota,1
British Columbia,31
Saskatchewan,1
Alberta,5
Maine,1
New Jersey,1
Florida,1
Wisconsin,1
Delaware,2
Louisiana,1
New York,1
Ontario,1
New Mexico,1
