state,frequency
California,156
Washington,83
Montana,31
Alberta,325
Colorado,101
Wyoming,9
South Dakota,6
Ontario,56
Utah,99
Idaho,75
Manitoba,23
New York,107
Massachusetts,18
British Columbia,87
Saskatchewan,102
New Jersey,2
Oregon,53
Arizona,5
Minnesota,7
Maryland,3
New Mexico,17
Nebraska,1
Quebec,18
Illinois,8
Rhode Island,6
New Hampshire,1
North Carolina,5
Tennessee,1
Pennsylvania,1
North Dakota,5
Nevada,19
Texas,3
Michigan,1
Virginia,2
Alabama,1
