state,frequency
Alberta,1
New York,5
Idaho,5
Minnesota,1
Montana,3
Rhode Island,3
Colorado,58
Nebraska,7
Washington,6
California,71
Wyoming,4
Arizona,1
Utah,7
South Dakota,3
Oregon,6
British Columbia,28
Wisconsin,1
Nevada,2
