state,frequency
California,4
Utah,6
Wyoming,3
Michigan,3
Idaho,6
Montana,15
Colorado,32
Wisconsin,1
Delaware,2
Washington,2
Louisiana,1
New York,1
British Columbia,12
Ontario,1
Nevada,4
Oregon,1
Alberta,3
New Mexico,1
