state,frequency
Texas,2
Massachusetts,7
Utah,26
California,25
Michigan,1
Alberta,122
Saskatchewan,27
Arizona,1
Idaho,26
Colorado,11
Maryland,1
Virginia,2
Washington,8
Alabama,1
British Columbia,18
Quebec,8
Ontario,23
New York,50
Oregon,6
Rhode Island,4
Minnesota,1
New Mexico,1
Nevada,4
Montana,3
North Carolina,2
