state,frequency
Vermont,22
Michigan,7
Massachusetts,6
California,2
New Hampshire,37
Colorado,5
Wisconsin,2
Illinois,4
Montana,2
Connecticut,1
Virginia,5
Maryland,1
Washington,4
Iowa,6
Maine,4
South Carolina,1
South Dakota,1
Ontario,16
New York,8
Alberta,8
British Columbia,3
Pennsylvania,9
Manitoba,2
Ohio,13
Minnesota,7
Missouri,1
Quebec,6
Saskatchewan,1
New Mexico,2
Nebraska,1
Nevada,1
