state,frequency
Alberta,273
Saskatchewan,94
New York,94
Ontario,40
Quebec,18
British Columbia,80
Utah,92
Idaho,56
Minnesota,6
Illinois,8
Massachusetts,11
Washington,66
Montana,16
Colorado,56
Rhode Island,6
Oregon,46
New Mexico,16
New Hampshire,1
California,122
Arizona,3
Manitoba,5
North Carolina,5
Wyoming,8
Tennessee,1
Pennsylvania,1
North Dakota,5
South Dakota,3
Nevada,19
Texas,3
New Jersey,1
Maryland,2
Michigan,1
Virginia,2
Alabama,1
