state,frequency
Nebraska,21
Idaho,15
Oregon,11
Utah,11
Arizona,3
Colorado,91
Wisconsin,6
California,74
South Dakota,7
Nevada,3
Alberta,6
Indiana,1
New York,8
British Columbia,40
Minnesota,3
Montana,10
Rhode Island,3
Washington,7
Wyoming,4
