state,frequency
Colorado,171
Oregon,11
Wyoming,42
Idaho,36
Montana,71
California,21
Utah,27
Alberta,9
Quebec,1
Nebraska,2
British Columbia,41
New Mexico,3
Michigan,9
Washington,13
Nevada,13
Minnesota,1
Saskatchewan,1
Maine,1
New Jersey,1
Florida,1
Wisconsin,1
Delaware,2
Louisiana,1
New York,1
Ontario,1
