state,frequency
Colorado,185
Idaho,40
Wyoming,45
Montana,72
South Dakota,2
Nebraska,3
Utah,28
Washington,15
Oregon,12
California,21
Alberta,12
Quebec,1
British Columbia,41
New Mexico,3
Michigan,9
Nevada,13
Minnesota,1
Saskatchewan,1
Maine,1
New Jersey,1
Florida,1
Wisconsin,1
Delaware,2
Louisiana,1
New York,1
Ontario,1
