Unnamed: 0.1,Source,Year,Species,Latitude,Longitude,public_positional_accuracy,State,gps
188367,I-naturalist,2021,Coccinella transversoguttata,44.8525116667,-113.0676945,5.0,Montana,"(44.8525116667, -113.0676945)"
188375,I-naturalist,2021,Coccinella transversoguttata,46.489545,-112.20372,24.0,Montana,"(46.489545, -112.20372)"
188378,I-naturalist,2021,Coccinella transversoguttata,45.0329142104,-110.6814004599,24.0,Montana,"(45.0329142104, -110.6814004599)"
188396,I-naturalist,2021,Coccinella transversoguttata,45.6531716667,-111.1195666667,4.0,Montana,"(45.6531716667, -111.1195666667)"
188400,I-naturalist,2021,Coccinella transversoguttata,44.834255,-113.0566028333,33.0,Montana,"(44.834255, -113.0566028333)"
143,I-naturalist,2021,Coccinella transversoguttata,39.5465133333,-105.0201195,4.0,Colorado,"(39.5465133333, -105.0201195)"
2237,I-naturalist,2021,Coccinella transversoguttata,37.744125,-107.72342,9.0,Colorado,"(37.744125, -107.72342)"
2524,I-naturalist,2021,Coccinella transversoguttata,53.4104626705,-113.9336945518,32.0,,"(53.4104626705, -113.9336945518)"
4448,I-naturalist,2021,Coccinella transversoguttata,44.9258733333,-110.3180983333,15.0,Wyoming,"(44.9258733333, -110.3180983333)"
5472,I-naturalist,2021,Coccinella transversoguttata,50.7433133333,-120.705995,4.0,,"(50.7433133333, -120.705995)"
9495,I-naturalist,2021,Coccinella transversoguttata,38.9165635,-119.7255158,36.0,Nevada,"(38.9165635, -119.7255158)"
9925,I-naturalist,2021,Coccinella transversoguttata,42.6452495835,-83.0595166371,188.0,Michigan,"(42.6452495835, -83.0595166371)"
