state,frequency
Colorado,166
Idaho,30
Wyoming,44
Montana,60
South Dakota,1
Washington,6
Oregon,9
California,20
Utah,16
Nebraska,2
Nevada,13
British Columbia,36
Saskatchewan,1
Louisiana,1
Alberta,3
New Mexico,3
Michigan,3
Wisconsin,1
Delaware,2
New York,1
Ontario,1
