state,frequency
Nebraska,21
Arizona,3
Colorado,84
Oregon,10
Wisconsin,5
South Dakota,6
Idaho,10
Montana,10
Alberta,5
California,42
Washington,4
British Columbia,35
Wyoming,4
Utah,8
Indiana,1
Nevada,3
Minnesota,1
New York,1
Rhode Island,1
