state,frequency
Nebraska,21
Idaho,10
Oregon,7
Utah,9
Arizona,3
Colorado,85
Wisconsin,6
South Dakota,7
California,63
New York,3
British Columbia,38
Alberta,5
Minnesota,3
Montana,10
Washington,6
Wyoming,4
Nevada,2
Rhode Island,1
