state,frequency
Nebraska,21
Oregon,10
Utah,7
Arizona,3
Colorado,88
Wisconsin,6
Idaho,15
South Dakota,5
Alberta,2
Indiana,1
New York,4
British Columbia,38
Minnesota,3
Montana,10
Rhode Island,2
California,64
Wyoming,4
Washington,5
Nevada,3
