state,frequency
Nebraska,21
Idaho,15
Oregon,10
Utah,10
Arizona,3
Colorado,88
Wisconsin,6
South Dakota,7
British Columbia,38
Montana,10
Alberta,5
New York,1
Minnesota,3
California,63
Wyoming,4
Washington,5
Rhode Island,1
Nevada,2
