state,frequency
Colorado,172
Idaho,33
Wyoming,44
Montana,63
South Dakota,1
Washington,6
Oregon,9
California,20
Utah,13
Nebraska,2
Nevada,13
British Columbia,34
Saskatchewan,1
Louisiana,1
Alberta,7
New Mexico,3
Michigan,3
Wisconsin,1
Delaware,2
New York,1
Ontario,1
