state,frequency
Nebraska,21
Idaho,9
Arizona,3
Colorado,86
Wisconsin,4
South Dakota,6
Oregon,9
Indiana,1
New York,5
British Columbia,21
Utah,9
Alberta,5
Minnesota,3
Montana,8
California,59
Wyoming,4
Washington,5
Nevada,3
Rhode Island,1
