state,frequency
Nebraska,21
Idaho,15
Utah,11
Arizona,3
Colorado,83
Wisconsin,6
South Dakota,7
Alberta,6
Indiana,1
New York,6
British Columbia,38
Minnesota,3
Montana,6
Oregon,11
Rhode Island,3
Washington,6
California,56
Wyoming,4
Nevada,3
