state,frequency
Nebraska,21
Idaho,10
Arizona,3
Colorado,71
Oregon,10
Wisconsin,2
British Columbia,35
South Dakota,6
Utah,11
Montana,10
Alberta,6
California,65
Wyoming,3
Washington,4
Nevada,3
New York,1
Rhode Island,1
