state,frequency
Washington,79
Montana,31
Alberta,317
California,62
Wyoming,9
South Dakota,6
Colorado,100
Idaho,75
Manitoba,37
British Columbia,90
Saskatchewan,100
New Jersey,1
Oregon,53
Arizona,4
Minnesota,7
Ontario,49
Maryland,2
New Mexico,16
Massachusetts,15
Nebraska,1
Utah,99
Quebec,18
New Hampshire,1
North Carolina,5
Tennessee,1
Pennsylvania,1
New York,10
North Dakota,5
Nevada,19
Texas,3
Virginia,2
Alabama,1
Rhode Island,6
Michigan,1
