state,frequency
Nebraska,19
Idaho,15
Utah,8
Arizona,3
Colorado,84
Wisconsin,6
South Dakota,7
New York,2
British Columbia,21
Alberta,5
Minnesota,3
Montana,10
Oregon,9
Washington,5
California,69
Nevada,2
Wyoming,4
Rhode Island,3
