state,frequency
Idaho,40
Wyoming,45
Montana,72
South Dakota,2
Colorado,181
Washington,14
Oregon,9
California,21
Utah,22
Alberta,7
Quebec,1
Nebraska,2
New Mexico,3
Michigan,8
Nevada,13
Minnesota,1
British Columbia,24
Saskatchewan,1
Florida,1
Delaware,2
Louisiana,1
Ontario,1
New Jersey,1
Wisconsin,1
