state,frequency
Idaho,40
Wyoming,45
Montana,72
South Dakota,2
Nebraska,3
Colorado,173
Utah,28
Washington,13
Oregon,12
California,21
Alberta,8
Quebec,1
British Columbia,41
New Mexico,3
Michigan,9
Nevada,13
Minnesota,1
Saskatchewan,1
Maine,1
New Jersey,1
Florida,1
Delaware,2
Louisiana,1
Ontario,1
New York,1
Wisconsin,1
