state,frequency
Nebraska,21
Idaho,15
Arizona,3
Colorado,78
Wisconsin,6
South Dakota,5
Indiana,1
New York,6
British Columbia,38
Utah,6
Alberta,6
Minnesota,3
Montana,10
Oregon,9
California,72
Wyoming,4
Washington,6
Nevada,2
