state,frequency
Colorado,185
Idaho,33
Wyoming,45
Montana,71
South Dakota,2
Utah,27
Washington,15
Oregon,12
California,21
Alberta,8
Nebraska,3
British Columbia,40
New Mexico,2
Michigan,8
Nevada,13
Minnesota,1
Saskatchewan,1
Florida,1
Delaware,2
Louisiana,1
Ontario,1
New Jersey,1
Quebec,1
Wisconsin,1
