state,frequency
Nebraska,19
Idaho,14
Arizona,3
Colorado,86
Wisconsin,5
South Dakota,4
Utah,7
Montana,9
Oregon,10
Alberta,2
Wyoming,3
California,65
British Columbia,35
Washington,4
Nevada,2
