state,frequency
California,111
Washington,80
Montana,26
Alberta,302
Wyoming,9
Utah,98
Colorado,99
Idaho,66
Manitoba,36
Saskatchewan,100
Minnesota,6
Oregon,31
Arizona,3
British Columbia,78
New Mexico,3
North Dakota,4
New York,94
Nevada,19
Ontario,40
South Dakota,5
Nebraska,1
Massachusetts,14
New Jersey,1
Quebec,11
Texas,2
Michigan,1
Maryland,1
Virginia,2
Alabama,1
Rhode Island,4
North Carolina,2
