state,frequency
Nebraska,19
Idaho,12
Arizona,3
Colorado,87
Wisconsin,4
Oregon,9
Indiana,1
British Columbia,17
Utah,10
Montana,10
Alberta,6
New York,1
Wyoming,4
California,70
South Dakota,4
Washington,6
Nevada,3
Rhode Island,1
