state,frequency
Nebraska,21
Idaho,15
Oregon,11
Utah,11
Arizona,3
Colorado,90
Wisconsin,6
South Dakota,7
Indiana,1
New York,7
British Columbia,38
Alberta,6
Minnesota,3
Montana,10
Rhode Island,3
Washington,6
California,72
Wyoming,4
Nevada,3
