state,frequency
Nebraska,21
Idaho,9
Utah,9
Arizona,3
Colorado,86
South Dakota,5
Nevada,3
Oregon,10
Indiana,1
New York,5
British Columbia,38
Wisconsin,4
Alberta,5
Minnesota,3
Montana,10
Washington,6
California,67
Wyoming,4
Rhode Island,1
