state,frequency
Nebraska,16
Idaho,12
Oregon,10
Arizona,3
Colorado,62
South Dakota,7
Indiana,1
Wisconsin,3
British Columbia,22
Utah,9
Minnesota,3
Montana,10
Alberta,5
New York,3
California,60
Wyoming,4
Washington,5
Nevada,3
