state,frequency
Nebraska,19
Idaho,12
Oregon,11
Utah,10
Arizona,3
Colorado,87
Wisconsin,6
South Dakota,7
New York,7
British Columbia,38
Alberta,5
Minnesota,2
Montana,10
California,56
Wyoming,4
Washington,5
Rhode Island,1
Nevada,2
Indiana,1
