,Year,counts
0,2007,318.4631
1,2008,294.0525
2,2009,290.422
3,2010,290.2252
4,2011,276.035
5,2012,284.9134
6,2013,284.1484
7,2014,269.6644
8,2015,287.2309
9,2016,234.7119
10,2017,258.9736
11,2018,229.4595
12,2019,245.5018
13,2020,255.5332
14,2021,251.5137
