,Year,counts
0,2007,1194.4649
1,2008,1184.8342
2,2009,1183.9077
3,2010,1139.541
4,2011,1179.52
5,2012,1079.7352
6,2013,1124.3457
7,2014,1118.3202
8,2015,1163.4854
9,2016,1163.716
10,2017,1141.0786
11,2018,1150.2222
12,2019,1117.1819
13,2020,1171.6854
14,2021,1194.5339
