,accuracy,precision,recall,f1,auc,brier,kappa
0,0.8680555555555556,0.8897058823529411,0.8402777777777778,0.8642857142857143,0.9285059799382717,0.10210010630298921,0.7361111111111112
1,0.8854166666666666,0.9007633587786259,0.855072463768116,0.8773234200743495,0.9413768115942028,0.09559551143682674,0.7699680511182109
2,0.8888888888888888,0.8939393939393939,0.8676470588235294,0.8805970149253731,0.928937693498452,0.09116381396900348,0.7767441860465116
3,0.8993055555555556,0.9072847682119205,0.9013157894736842,0.9042904290429044,0.9522542569659443,0.0788544111422145,0.7980657640232108
4,0.8576388888888888,0.855072463768116,0.8489208633093526,0.851985559566787,0.9222635314567138,0.11133124529399469,0.7148652564474065
5,0.8854166666666666,0.8985507246376812,0.8671328671328671,0.8825622775800711,0.9519652761032071,0.09383394163221798,0.770767004341534
6,0.8854166666666666,0.8939393939393939,0.8613138686131386,0.8773234200743494,0.9504036351331755,0.0874496626466861,0.7699012202208019
7,0.9097222222222222,0.8873239436619719,0.9264705882352942,0.906474820143885,0.9579140866873065,0.07447314053983585,0.8193050193050193
8,0.8819444444444444,0.8698630136986302,0.8943661971830986,0.8819444444444445,0.9464113447810149,0.09127535916635104,0.7639344262295082
9,0.8958333333333334,0.9457364341085271,0.8413793103448276,0.8905109489051095,0.9518688208343381,0.08589939683392404,0.7918172618187075
10,0.9027777777777778,0.916030534351145,0.8759124087591241,0.8955223880597015,0.9623193309808094,0.07409502130649247,0.8046984742068297
11,0.8645833333333334,0.8880597014925373,0.8321678321678322,0.8592057761732852,0.9198938992042441,0.1130726223215036,0.7290359934381936
12,0.8993055555555556,0.8896551724137931,0.9084507042253521,0.8989547038327526,0.9534777156087209,0.0813091123021645,0.7986305333204745
13,0.8715277777777778,0.9161290322580645,0.8554216867469879,0.8847352024922119,0.9561524787675291,0.09056836308503063,0.7400214696984484
14,0.8958333333333334,0.9477611940298507,0.8466666666666667,0.8943661971830985,0.9549516908212561,0.0784853271936437,0.792267743796884
15,0.8715277777777778,0.8671328671328671,0.8732394366197183,0.8701754385964913,0.9378979355585568,0.09474716781916775,0.7430307707147681
16,0.8958333333333334,0.9261744966442953,0.8789808917197452,0.9019607843137255,0.9436962123790539,0.08741048094182369,0.7910115620918194
17,0.9131944444444444,0.9626865671641791,0.8657718120805369,0.9116607773851589,0.9627734054367245,0.0682346804579112,0.8268065043779467
18,0.8819444444444444,0.936,0.8181818181818182,0.873134328358209,0.9304557511454064,0.09373591818701556,0.7636723463821982
19,0.9236111111111112,0.9703703703703703,0.8791946308724832,0.9225352112676056,0.9570276664574381,0.0716117065156445,0.8475530532698138
20,0.8854166666666666,0.8819875776397516,0.9102564102564102,0.8958990536277602,0.9539384226884227,0.08289726658614367,0.7685563997662186
21,0.8784722222222222,0.9333333333333333,0.8289473684210527,0.878048780487805,0.9392414860681114,0.09651098044372615,0.7577854671280277
22,0.8680555555555556,0.8823529411764706,0.8450704225352113,0.8633093525179857,0.9342079876519391,0.09884440322280619,0.7359073359073359
23,0.8819444444444444,0.8791946308724832,0.891156462585034,0.8851351351351352,0.9436242582139238,0.0924024474854494,0.7637179672795715
24,0.8958333333333334,0.8992805755395683,0.8865248226950354,0.8928571428571428,0.9404400057895499,0.08977561928850794,0.7915158534819748
25,0.90625,0.9264705882352942,0.8811188811188811,0.903225806451613,0.9492163009404389,0.0753418768877587,0.8124276341181011
26,0.9131944444444444,0.9214285714285714,0.9020979020979021,0.911660777385159,0.9564745599228359,0.07143738213749667,0.8263553926297511
27,0.8923611111111112,0.9435483870967742,0.8297872340425532,0.8830188679245283,0.9546967723259517,0.08343663772369163,0.7840975043528728
28,0.8854166666666666,0.869281045751634,0.910958904109589,0.8896321070234113,0.9497636503955238,0.08865557339070522,0.7706342311033884
29,0.8993055555555556,0.8827160493827161,0.934640522875817,0.9079365079365078,0.9542241587993223,0.08565116013913193,0.7970253718285214
30,0.8888888888888888,0.9117647058823529,0.8611111111111112,0.8857142857142858,0.9404176311728395,0.08996190901701676,0.7777777777777778
