,accuracy,precision,recall,f1,auc,brier,kappa
0,0.8153846153846154,0.8076923076923077,0.75,0.7777777777777779,0.8735521235521235,0.14131553455428178,0.620253164556962
1,0.8615384615384616,0.8620689655172413,0.8333333333333334,0.847457627118644,0.9361904761904762,0.10646907213048558,0.7207637231503581
2,0.8923076923076924,1.0,0.7878787878787878,0.8813559322033898,0.8825757575757575,0.12611849110479706,0.7852760736196319
3,0.8769230769230769,0.8846153846153846,0.8214285714285714,0.8518518518518519,0.8967181467181468,0.111913041910327,0.7468354430379747
4,0.8307692307692308,0.8571428571428571,0.8333333333333334,0.8450704225352113,0.8922413793103448,0.12538361812705712,0.6587112171837709
5,0.8307692307692308,0.8275862068965517,0.8,0.8135593220338982,0.870952380952381,0.13875298961002341,0.6587112171837709
6,0.8923076923076924,0.9210526315789473,0.8974358974358975,0.9090909090909091,0.9516765285996055,0.08356524570712862,0.7770700636942676
7,0.8615384615384616,0.8518518518518519,0.8214285714285714,0.8363636363636364,0.9034749034749036,0.11856593888099583,0.7164323800290838
8,0.8461538461538461,0.9333333333333333,0.7777777777777778,0.8484848484848485,0.8884099616858238,0.1260596703831573,0.6948356807511737
9,0.8461538461538461,0.9333333333333333,0.7777777777777778,0.8484848484848485,0.8908045977011495,0.12797288758890227,0.6948356807511737
10,0.8307692307692308,0.8620689655172413,0.78125,0.8196721311475409,0.8693181818181819,0.1399158821836091,0.6609767662399242
11,0.8615384615384616,0.9032258064516129,0.8235294117647058,0.8615384615384616,0.8619544592030359,0.13559202071850573,0.723665564478035
12,0.8615384615384616,0.9333333333333333,0.8,0.8615384615384616,0.9076190476190475,0.10784854858896156,0.7247058823529412
13,0.8615384615384616,0.9354838709677419,0.8055555555555556,0.8656716417910448,0.9152298850574714,0.13519028822992293,0.7244465379180405
14,0.8923076923076924,0.9375,0.8571428571428571,0.8955223880597014,0.9428571428571428,0.09781193225878941,0.7848699763593381
15,0.8923076923076924,0.8787878787878788,0.90625,0.8923076923076922,0.9375,0.10031288894480281,0.7846663511594889
16,0.7538461538461538,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.8510848126232742,0.16360655776904703,0.4871794871794871
17,0.8461538461538461,0.8846153846153846,0.7666666666666667,0.8214285714285715,0.9252380952380952,0.1108309210198972,0.6875
18,0.7846153846153846,0.8666666666666667,0.7222222222222222,0.7878787878787877,0.8951149425287357,0.14156590725321153,0.5727699530516431
19,0.8153846153846154,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.8914092664092664,0.15356148093082594,0.6235521235521235
20,0.8461538461538461,0.9117647058823529,0.8157894736842105,0.861111111111111,0.8664717348927876,0.1426293391443466,0.6898854961832062
21,0.8769230769230769,0.88,0.8148148148148148,0.8461538461538461,0.8845029239766081,0.11972649850305922,0.7438423645320198
22,0.8769230769230769,0.9333333333333333,0.8235294117647058,0.8749999999999999,0.9354838709677419,0.10245052482299304,0.7547169811320754
23,0.8153846153846154,0.8666666666666667,0.7647058823529411,0.8125,0.836337760910816,0.16739167130117738,0.6320754716981132
