,accuracy,precision,recall,f1,auc,brier,kappa
0,0.9019607843137255,0.9,0.9,0.9,0.9542307692307692,0.09039484723858582,0.8038461538461539
1,0.8921568627450981,0.94,0.8545454545454545,0.8952380952380952,0.9365570599613153,0.10055208455290864,0.7846449136276392
2,0.9215686274509803,0.9772727272727273,0.86,0.9148936170212766,0.95,0.08094678076321547,0.8427139552814187
3,0.9215686274509803,0.8775510204081632,0.9555555555555556,0.9148936170212767,0.9637426900584796,0.07004773752529078,0.8424101969872537
4,0.9215686274509803,0.9122807017543859,0.9454545454545454,0.9285714285714285,0.9628626692456479,0.0755328096004823,0.8416763678696159
5,0.9215686274509803,0.9090909090909091,0.9433962264150944,0.9259259259259259,0.9587986137851368,0.07518928830475344,0.8426532973389895
6,0.9117647058823529,0.9423076923076923,0.8909090909090909,0.9158878504672897,0.9657640232108318,0.0745409923133236,0.823257604928764
7,0.9215686274509803,0.9285714285714286,0.8863636363636364,0.9069767441860465,0.9741379310344828,0.06340750489286508,0.8392434988179669
8,0.9215686274509803,0.9423076923076923,0.9074074074074074,0.9245283018867925,0.9677854938271605,0.06620463798915299,0.8429561200923787
9,0.9215686274509803,0.9130434782608695,0.9130434782608695,0.9130434782608695,0.9718555900621118,0.09588926834128365,0.8416149068322981
10,0.9215686274509803,0.8928571428571429,0.9615384615384616,0.9259259259259259,0.9611538461538461,0.07944969107373823,0.8428351309707242
11,0.9509803921568627,1.0,0.9019607843137255,0.9484536082474228,0.974240676662822,0.056666349172254264,0.9019607843137255
12,0.9117647058823529,0.875,0.9607843137254902,0.9158878504672897,0.9354094579008074,0.09603578129152625,0.8235294117647058
13,0.9411764705882353,0.96,0.9230769230769231,0.9411764705882353,0.97,0.061054983666741676,0.8823981552651806
14,0.9313725490196079,0.9215686274509803,0.94,0.9306930693069307,0.9646153846153847,0.0671613542454675,0.8627450980392157
15,0.9411764705882353,0.9285714285714286,0.9629629629629629,0.9454545454545454,0.9837962962962963,0.052242342528686724,0.8816705336426914
16,0.9019607843137255,0.8823529411764706,0.9183673469387755,0.9,0.9686176357335387,0.07258684818024119,0.803921568627451
17,0.8823529411764706,0.86,0.8958333333333334,0.8775510204081632,0.9463734567901234,0.09505488519668874,0.7644341801385681
18,0.9411764705882353,0.92,0.9583333333333334,0.9387755102040817,0.9849537037037036,0.0507485831732869,0.8822170900692841
19,0.9509803921568627,0.9534883720930233,0.9318181818181818,0.942528735632184,0.975705329153605,0.06070817610915841,0.899803536345776
20,0.9313725490196079,0.9787234042553191,0.8846153846153846,0.9292929292929293,0.9673076923076923,0.06342942765054693,0.8629558541266795
21,0.9313725490196079,0.9047619047619048,0.926829268292683,0.9156626506024096,0.9724110355857657,0.06305921682773194,0.8578255675029869
22,0.8627450980392157,0.8333333333333334,0.8695652173913043,0.851063829787234,0.9210015527950309,0.12276990077719603,0.7238979118329466
23,0.8627450980392157,0.8863636363636364,0.8125,0.8478260869565218,0.9398148148148148,0.10524977575219577,0.7232558139534884
24,0.9509803921568627,0.9302325581395349,0.9523809523809523,0.9411764705882352,0.963095238095238,0.05351907808573455,0.8991696322657177
25,0.9019607843137255,0.8958333333333334,0.8958333333333334,0.8958333333333334,0.9535108024691358,0.08704899285109712,0.8032407407407407
26,0.9019607843137255,0.8846153846153846,0.92,0.9019607843137256,0.9211538461538461,0.09806545343867096,0.8039969254419678
27,0.9313725490196079,0.9516129032258065,0.9365079365079365,0.944,0.9772079772079773,0.059979384793519115,0.8554070473876063
28,0.9215686274509803,0.95,0.9193548387096774,0.9344262295081968,0.9798387096774193,0.0634394506754416,0.8369304556354916
29,0.9215686274509803,0.9090909090909091,0.9433962264150944,0.9259259259259259,0.9372352714670774,0.07998428490309412,0.8426532973389895
30,0.9117647058823529,0.9038461538461539,0.9215686274509803,0.9126213592233009,0.9646289888504421,0.0759417052590915,0.8235294117647058
31,0.9509803921568627,0.9574468085106383,0.9375,0.9473684210526315,0.9789737654320988,0.05522431203099353,0.9015063731170336
32,0.9215686274509803,0.9090909090909091,0.9433962264150944,0.9259259259259259,0.9526376588371197,0.07477486965044663,0.8426532973389895
