,accuracy,precision,recall,f1,auc,brier,kappa
0,0.8358974358974359,0.8369565217391305,0.8191489361702128,0.8279569892473119,0.8656519907309881,0.14086750807969498,0.6711289132497101
1,0.8256410256410256,0.8023255813953488,0.8023255813953488,0.8023255813953488,0.8622253040324301,0.1423635672686447,0.6463622786430552
2,0.8051282051282052,0.845360824742268,0.780952380952381,0.8118811881188118,0.8476719576719577,0.1621569402967966,0.610410094637224
3,0.8307692307692308,0.8484848484848485,0.8235294117647058,0.8358208955223881,0.8790322580645161,0.1372340397658792,0.6612979630506869
4,0.8769230769230769,0.8611111111111112,0.9117647058823529,0.8857142857142858,0.910605102255956,0.11313976789799284,0.7526165556612749
5,0.841025641025641,0.8144329896907216,0.8586956521739131,0.835978835978836,0.8920958210215281,0.12647478843225302,0.6819592781606776
6,0.8153846153846154,0.8165137614678899,0.8476190476190476,0.8317757009345795,0.8832804232804232,0.1392268212004127,0.6273885350318471
7,0.882051282051282,0.8415841584158416,0.9239130434782609,0.8808290155440415,0.9298227100042212,0.10661430665599331,0.7645792871765261
8,0.8205128205128205,0.7889908256880734,0.8775510204081632,0.8309178743961353,0.8882810856301284,0.1417021702715358,0.6408083785063945
9,0.8358974358974359,0.8415841584158416,0.8415841584158416,0.8415841584158416,0.8962502633242048,0.12411744888171863,0.6713713924583948
10,0.8102564102564103,0.7964601769911505,0.8653846153846154,0.8294930875576038,0.8793322062552832,0.14496639618149473,0.6164478230822391
11,0.8307692307692308,0.8636363636363636,0.7835051546391752,0.8216216216216216,0.8849147906585315,0.13547558577781638,0.6613692574856602
12,0.8256410256410256,0.7840909090909091,0.8214285714285714,0.8023255813953489,0.8486700986700987,0.14854702245414741,0.6465131158029431
13,0.8205128205128205,0.8181818181818182,0.8571428571428571,0.8372093023255814,0.8851851851851852,0.1427027956267954,0.6374501992031872
14,0.8102564102564103,0.782608695652174,0.8823529411764706,0.8294930875576038,0.8700189753320683,0.14253998086189806,0.6173428798727127
15,0.8,0.7410714285714286,0.8924731182795699,0.8097560975609757,0.8553658022348725,0.15134096722998305,0.6027268453220498
16,0.8307692307692308,0.7956989247311828,0.8409090909090909,0.8176795580110496,0.8887000849617671,0.13854241938447012,0.6600095102234902
17,0.8256410256410256,0.76,0.8837209302325582,0.8172043010752689,0.8940153616385749,0.13399954989651203,0.6523335081279497
18,0.7897435897435897,0.7924528301886793,0.8155339805825242,0.8038277511961723,0.8327880962431407,0.16406403279669873,0.5774089539616258
19,0.8205128205128205,0.8131868131868132,0.8043478260869565,0.8087431693989071,0.8699873364288729,0.14359040108818122,0.6396705559368565
20,0.8256410256410256,0.8469387755102041,0.8137254901960784,0.8300000000000002,0.8525722116803711,0.14502397094022074,0.6511994949494949
21,0.8205128205128205,0.7934782608695652,0.8202247191011236,0.8066298342541436,0.88562645749417,0.13866431565169507,0.6392515460648025
