,accuracy,precision,recall,f1,auc,brier,kappa
0,0.8143589743589748,0.8137574246834118,0.8169697518574857,0.814380313666319,0.8669991246775504,0.14812294023060235,0.6282298316509545
1,0.8135384615384617,0.8138977754686114,0.8163393934697099,0.8134182792803125,0.867402818402657,0.14765924415248408,0.6269943090611968
2,0.8309743589743589,0.8394826486745383,0.8205932846922415,0.8289538503073537,0.8861744245580876,0.13567301028232592,0.6612738127333904
3,0.8252307692307693,0.828965087862645,0.820335222870248,0.8236887644266792,0.8841718980502346,0.13831293547776913,0.6498776346209074
4,0.8363076923076923,0.8348197805068357,0.8413164998582121,0.8365845094650676,0.8877783782411646,0.1334648180093317,0.6721766942435998
5,0.8130256410256412,0.8177536507811523,0.8074969324390847,0.811375988467654,0.8730076399672836,0.14654449402448427,0.6256409842073761
6,0.8272820512820513,0.8309002233513229,0.8228476155809951,0.825880566749097,0.8823014226488297,0.13977473719567657,0.6538887415731022
7,0.8075897435897436,0.8073671001295069,0.8107520557086042,0.8080015537905051,0.865070197958694,0.15135836805445407,0.6144392957645182
8,0.8185641025641026,0.8145397094968986,0.8264038861699196,0.8194195440071668,0.8727451439955267,0.14498667744548122,0.6366102047062537
9,0.8155897435897438,0.8147785749089727,0.8195759397436798,0.8157299395342487,0.8789409368370578,0.14520062261111344,0.6309159641205851
10,0.8305641025641026,0.8360456252854479,0.8242775232856395,0.8288085751882031,0.8791859756389394,0.13852780154762306,0.660779502154105
11,0.8207179487179488,0.8131230658120695,0.8336914798180202,0.8221569755743746,0.8753213797194144,0.1447074095428331,0.6410208198119549
12,0.8372307692307696,0.8407794204076545,0.8326160529380227,0.8358930325932482,0.8940659845748723,0.13227132337188643,0.6739175489553111
13,0.8231794871794871,0.8213824367819239,0.8277849579554448,0.823442350297413,0.8786339144555702,0.14159281917180233,0.6455836065733399
14,0.8244102564102566,0.8148692619176425,0.8407156900182831,0.8263791644456139,0.887546248685659,0.13810639924261342,0.648452718735631
15,0.8196923076923077,0.8151810319454107,0.8278298874798025,0.8205038824379206,0.8761227623636627,0.14364283802360997,0.638755604882295
16,0.8250256410256412,0.8195556733880458,0.8349404886367823,0.8260636497885784,0.882649333385616,0.13951547663881725,0.6496730086204789
17,0.8354871794871793,0.8352324080599582,0.8363714398922325,0.8350825051292398,0.8861296346379243,0.1341959665399692,0.6705247259115089
18,0.8233846153846155,0.8195199486489166,0.8295611698450936,0.8237201696384708,0.8811560289321402,0.13941979663792153,0.6460218096983873
19,0.8272820512820515,0.8249052095738004,0.8330157340817453,0.827935079960777,0.8740288048156948,0.14126821376017495,0.6540411755443856
20,0.8246153846153845,0.8217296551016133,0.8308254958730165,0.8252151364963987,0.8791935246802401,0.14157612001864694,0.6487782722432107
21,0.8336410256410255,0.8354956562251357,0.8331450201487448,0.8331691806252715,0.8845846223781133,0.13634139170863016,0.6667120393094441
22,0.8183589743589745,0.8142682985867011,0.8261971627689474,0.8192351952886611,0.8766479432739063,0.1442423254208643,0.6361584012693313
23,0.8230769230769233,0.8228615356762954,0.824139534674996,0.8225663294657498,0.8756956665571178,0.14245667790375843,0.6455985537260761
24,0.8231794871794872,0.8204411109388043,0.828056331551149,0.8232340497352734,0.8731297942527374,0.1432486736014712,0.6458298067966222
25,0.8201025641025642,0.8222524288814007,0.8176844933003982,0.8187790514815179,0.8707441090541294,0.14568085394278596,0.6398243023467708
26,0.8192820512820513,0.8201682634538756,0.8195784233427232,0.8187783377348391,0.8729213641590523,0.14500764477744268,0.6381402145681878
27,0.8292307692307692,0.8327306509312522,0.8253804112436833,0.8281731199665907,0.8831567317017525,0.13907113829198786,0.6579414334319225
28,0.8092307692307696,0.802710741185216,0.8204510187292179,0.8105340883406198,0.8646278286128297,0.153460124098035,0.617771835386077
29,0.8248205128205128,0.8229821966532604,0.8286614159103824,0.8249061893586835,0.8840965935665009,0.1396810709594396,0.6491140549093741
