,accuracy,precision,recall,f1,auc,brier,kappa
0,0.8921568627450981,0.8979591836734694,0.88,0.888888888888889,0.9549999999999998,0.09023336908231068,0.7841477491342824
1,0.9019607843137255,0.9411764705882353,0.8727272727272727,0.9056603773584905,0.9458413926499033,0.0872822966692589,0.803921568627451
2,0.9313725490196079,0.9574468085106383,0.9,0.9278350515463918,0.9569230769230769,0.06778228093594425,0.8625336927223719
3,0.9215686274509803,0.8775510204081632,0.9555555555555556,0.9148936170212767,0.9764132553606237,0.06770369645291575,0.8424101969872537
4,0.9117647058823529,0.9259259259259259,0.9090909090909091,0.9174311926605504,0.964990328820116,0.07473276525684405,0.8227114716106605
5,0.9215686274509803,0.9090909090909091,0.9433962264150944,0.9259259259259259,0.9539853677319984,0.07042015104486236,0.8426532973389895
6,0.9313725490196079,0.9444444444444444,0.9272727272727272,0.9357798165137615,0.969825918762089,0.06825368786747135,0.8621089223638471
7,0.9411764705882353,0.9318181818181818,0.9318181818181818,0.9318181818181818,0.9704153605015674,0.06894979631519561,0.8800940438871473
8,0.9215686274509803,0.9791666666666666,0.8703703703703703,0.9215686274509804,0.9685570987654321,0.06773173215772191,0.8436781609195403
9,0.9313725490196079,0.9148936170212766,0.9347826086956522,0.924731182795699,0.9763198757763976,0.05706678228462779,0.8616815187911662
10,0.8823529411764706,0.8571428571428571,0.9230769230769231,0.888888888888889,0.9476923076923076,0.09346273664628477,0.7642526964560863
11,0.9215686274509803,0.9574468085106383,0.8823529411764706,0.9183673469387754,0.9644367550941946,0.07243301089134249,0.8431372549019608
12,0.8627450980392157,0.8363636363636363,0.9019607843137255,0.8679245283018867,0.9119569396386006,0.11863411967555994,0.7254901960784313
13,0.8921568627450981,0.8867924528301887,0.9038461538461539,0.8952380952380953,0.9542307692307692,0.08749563223098715,0.7841477491342824
14,0.9313725490196079,0.9215686274509803,0.94,0.9306930693069307,0.9561538461538461,0.0724492148588025,0.8627450980392157
15,0.9509803921568627,0.9454545454545454,0.9629629629629629,0.9541284403669724,0.9780092592592593,0.04914275815989294,0.9015063731170336
16,0.9313725490196079,0.9565217391304348,0.8979591836734694,0.9263157894736843,0.9695802849441663,0.06714530122511322,0.8622153608645311
17,0.8921568627450981,0.8627450980392157,0.9166666666666666,0.888888888888889,0.9423225308641975,0.09240596386867417,0.7843137254901961
18,0.9509803921568627,0.9215686274509803,0.9791666666666666,0.9494949494949494,0.9888117283950617,0.0397164777002846,0.9019607843137255
19,0.9411764705882353,0.9318181818181818,0.9318181818181818,0.9318181818181818,0.9731583072100313,0.06128288959292018,0.8800940438871473
20,0.9313725490196079,0.9787234042553191,0.8846153846153846,0.9292929292929293,0.9707692307692307,0.06051623789536649,0.8629558541266795
21,0.9313725490196079,0.9047619047619048,0.926829268292683,0.9156626506024096,0.9736105557776888,0.05777501149507799,0.8578255675029869
22,0.8921568627450981,0.8723404255319149,0.8913043478260869,0.8817204301075269,0.9340062111801242,0.10226268381819302,0.7826423866718326
23,0.8823529411764706,0.875,0.875,0.875,0.9454089506172839,0.09229821527923411,0.7638888888888888
24,0.9313725490196079,0.8888888888888888,0.9523809523809523,0.9195402298850575,0.9662698412698413,0.06014096340412312,0.8598351001177856
25,0.9117647058823529,0.8979591836734694,0.9166666666666666,0.9072164948453607,0.9591049382716049,0.07931532237294109,0.823121387283237
26,0.9019607843137255,0.8846153846153846,0.92,0.9019607843137256,0.9326923076923077,0.09480300606600636,0.8039969254419678
